Date,Open,High,Low,Last,Close
2018-10-08,222.21,224.8,220.2,223.77,29663923
2018-10-05,227.96,228.41,220.58,224.29,33580463
2018-10-04,230.78,232.35,226.73,227.99,32042000
2018-10-03,230.05,233.47,229.78,232.07,28654799
2018-10-02,227.25,230,226.63,229.28,24788170
2018-10-01,227.95,229.42,226.35,227.26,23600802
2018-09-28,224.79,225.84,224.02,225.74,22929364
2018-09-27,223.82,226.44,223.54,224.95,30181227
2018-09-26,221,223.75,219.76,220.42,23984706
2018-09-25,219.75,222.82,219.7,222.19,24554379
2018-09-24,216.82,221.26,216.63,220.79,27693358
2018-09-21,220.78,221.36,217.29,217.66,96246748
2018-09-20,220.24,222.28,219.15,220.03,26608794
2018-09-19,218.5,219.62,215.3,218.37,27123833
2018-09-18,217.79,221.85,217.12,218.24,31571712
2018-09-17,222.15,222.95,217.27,217.88,37195133
2018-09-14,225.75,226.84,222.52,223.84,31999289
2018-09-13,223.52,228.35,222.57,226.41,41706377
2018-09-12,224.94,225,219.84,221.07,49278740
2018-09-11,218.01,224.3,216.56,223.85,35749049
2018-09-10,220.95,221.85,216.47,218.33,39516453
2018-09-07,221.85,225.37,220.71,221.3,37619810
2018-09-06,226.23,227.35,221.3,223.1,34289976
2018-09-05,228.99,229.67,225.1,226.87,33332960
2018-09-04,228.41,229.18,226.63,228.36,27390132
2018-08-31,226.51,228.87,226,227.63,43340134
2018-08-30,223.25,228.26,222.4,225.03,48793824
2018-08-29,220.15,223.49,219.41,222.98,27254804
2018-08-28,219.01,220.54,218.92,219.7,22776766
2018-08-27,217.15,218.74,216.33,217.94,20525117
2018-08-24,216.6,216.9,215.11,216.16,18476356
2018-08-23,214.65,217.05,214.6,215.49,18883224
2018-08-22,214.1,216.36,213.84,215.05,19018131
2018-08-21,216.8,217.19,214.03,215.04,26159755
2018-08-20,218.1,219.18,215.11,215.46,30287695
2018-08-17,213.44,217.95,213.16,217.58,35426997
2018-08-16,211.75,213.81,211.47,213.32,28500367
2018-08-15,209.22,210.74,208.33,210.24,28807564
2018-08-14,210.16,210.56,208.26,209.75,20748010
2018-08-13,207.7,210.95,207.7,208.87,25890880
2018-08-10,207.36,209.1,206.67,207.53,24611202
2018-08-09,207.28,209.78,207.2,208.88,23492626
2018-08-08,206.05,207.81,204.52,207.25,22525487
2018-08-07,209.32,209.5,206.76,207.11,25587387
2018-08-06,208,209.25,207.07,209.07,25425387
2018-08-03,207.03,208.74,205.48,207.99,33447396
2018-08-02,200.58,208.38,200.35,207.39,62404012
2018-08-01,199.13,201.76,197.31,201.5,67935716
2018-07-31,190.3,192.14,189.34,190.29,39373038
2018-07-30,191.9,192.2,189.07,189.91,21029535
2018-07-27,194.99,195.19,190.1,190.98,24023972
2018-07-26,194.61,195.96,193.61,194.21,19075964
2018-07-25,193.06,194.85,192.43,194.82,16826483
2018-07-24,192.45,193.66,192.05,193,18697898
2018-07-23,190.68,191.96,189.56,191.61,15989365
2018-07-20,191.78,192.43,190.17,191.44,20706042
